
Epoch:   0%|                                                                                                                  | 0/10 [00:00<?, ?it/s]
0 48 	| 2.588 	| 0.2812 	| tensor([ 7,  8,  5, 11,  4,  5, 13,  7,  3, 13], device='cuda:0')
0 49 	| 2.1015 	| 0.3438 	| tensor([ 4,  2, 13,  1,  5,  0,  5,  5,  8,  4], device='cuda:0')
0 50 	| 1.7176 	| 0.4688 	| tensor([ 3, 10,  5,  5,  5,  5,  3,  5, 12, 13], device='cuda:0')
0 51 	| 2.5391 	| 0.1562 	| tensor([ 5, 14, 14,  5,  9,  4,  5,  5,  6,  8], device='cuda:0')
0 52 	| 2.1003 	| 0.3125 	| tensor([ 6, 10,  8,  3, 14,  8, 14,  0,  7, 13], device='cuda:0')
0 53 	| 1.7197 	| 0.4062 	| tensor([10,  7, 14, 14, 11,  5,  5,  3,  8,  0], device='cuda:0')
0 54 	| 2.0049 	| 0.5 	| tensor([ 9,  6, 14, 14, 10,  8,  5,  5,  8,  2], device='cuda:0')
0 55 	| 2.0346 	| 0.2188 	| tensor([10,  5, 12, 13,  5, 14,  3,  2,  8,  3], device='cuda:0')
0 56 	| 2.393 	| 0.25 	| tensor([ 0, 11,  7,  5, 14,  6,  3,  5,  3,  6], device='cuda:0')
0 57 	| 1.9926 	| 0.375 	| tensor([ 8, 11,  8,  2,  6, 13,  7,  4,  5,  4], device='cuda:0')
0 58 	| 2.0182 	| 0.3125 	| tensor([ 0,  5, 11,  4,  0,  5, 12, 13,  3,  4], device='cuda:0')
0 59 	| 2.5879 	| 0.25 	| tensor([ 6,  5,  4, 10, 13, 11,  4,  5,  6,  6], device='cuda:0')
0 60 	| 1.8048 	| 0.375 	| tensor([12,  7,  9,  0,  9,  0, 13,  6, 11, 10], device='cuda:0')
0 61 	| 1.6557 	| 0.5 	| tensor([10,  3,  3, 11,  2, 11, 14,  9, 14, 11], device='cuda:0')
0 62 	| 2.1454 	| 0.3438 	| tensor([ 4,  0, 14,  4,  6, 14,  0, 13, 14,  9], device='cuda:0')
0 63 	| 1.7563 	| 0.3438 	| tensor([10,  0,  9,  5,  0,  8, 12,  3,  4,  3], device='cuda:0')
0 64 	| 3.1042 	| 0.125 	| tensor([ 6, 10,  5,  5,  2,  4,  4,  5, 14, 11], device='cuda:0')
0 65 	| 2.2372 	| 0.25 	| tensor([ 3,  0,  2,  5,  9,  9,  6,  4, 10,  6], device='cuda:0')
0 66 	| 1.7779 	| 0.375 	| tensor([11,  7, 13,  6,  9,  9,  2,  3,  1,  4], device='cuda:0')
0 67 	| 2.1391 	| 0.1875 	| tensor([13,  5, 11,  9,  9,  9, 13,  4,  5,  6], device='cuda:0')
0 68 	| 2.3249 	| 0.25 	| tensor([ 3, 14,  4,  9,  5,  6, 14,  3, 10, 11], device='cuda:0')
0 69 	| 2.7913 	| 0.125 	| tensor([ 4,  5,  9,  4,  4, 14,  9,  4,  9,  4], device='cuda:0')
0 70 	| 2.2041 	| 0.1875 	| tensor([ 3,  5,  9,  0, 14, 13,  2,  5, 13,  7], device='cuda:0')
0 71 	| 2.1863 	| 0.375 	| tensor([ 0, 12,  9,  5,  0, 10,  5,  8,  0,  2], device='cuda:0')
0 72 	| 2.0241 	| 0.3438 	| tensor([ 7,  2,  6,  0,  6,  3, 11,  5,  8, 14], device='cuda:0')
0 73 	| 1.8984 	| 0.3125 	| tensor([ 5,  8, 12, 13,  5,  0, 13, 13,  5,  1], device='cuda:0')
0 74 	| 1.9625 	| 0.3438 	| tensor([ 7,  5,  5, 12,  9,  4,  5,  2,  9,  4], device='cuda:0')
0 75 	| 2.549 	| 0.375 	| tensor([ 0, 11,  2,  0,  3,  4, 13,  1,  5,  5], device='cuda:0')
0 76 	| 2.338 	| 0.2812 	| tensor([14,  7, 14,  1,  9,  0,  8,  8,  5,  5], device='cuda:0')
0 77 	| 2.0498 	| 0.4062 	| tensor([13,  5,  5, 13,  7, 12, 13,  5,  2,  6], device='cuda:0')
0 78 	| 1.8119 	| 0.4062 	| tensor([ 5,  5, 13,  0,  0,  7, 14,  5, 14, 10], device='cuda:0')
0 79 	| 2.178 	| 0.2188 	| tensor([13,  2,  3, 14,  0, 13, 14,  9, 10,  9], device='cuda:0')
0 80 	| 1.9589 	| 0.3125 	| tensor([12, 13,  5, 14, 11,  9,  5,  5, 10,  0], device='cuda:0')
0 81 	| 2.4096 	| 0.2812 	| tensor([10,  4,  2, 10, 14,  5,  9,  0,  5, 13], device='cuda:0')
0 82 	| 1.8731 	| 0.3125 	| tensor([7, 4, 1, 0, 2, 5, 5, 3, 4, 9], device='cuda:0')
0 83 	| 1.7442 	| 0.375 	| tensor([11, 10,  7,  6,  4,  7,  3,  0, 14,  0], device='cuda:0')
0 84 	| 1.8418 	| 0.3438 	| tensor([ 1, 11,  2,  3, 13, 14,  5,  7,  3,  3], device='cuda:0')
0 85 	| 2.3726 	| 0.25 	| tensor([ 3,  0,  7,  3, 10,  0,  1,  3, 11,  9], device='cuda:0')
