
Epoch:   0%|                                                                                                                  | 0/10 [00:00<?, ?it/s]
0 48 	| 2.0226 	| 0.2812 	| tensor([ 9,  0,  3,  5,  7,  7,  9,  3, 14,  4], device='cuda:0')
0 49 	| 2.3187 	| 0.125 	| tensor([ 4,  2,  6,  7, 14,  4, 10,  3, 11,  7], device='cuda:0')
0 50 	| 2.0576 	| 0.3125 	| tensor([ 8,  5,  8,  8, 14,  7,  2,  2,  7, 10], device='cuda:0')
0 51 	| 2.1336 	| 0.3438 	| tensor([ 2,  8, 12, 13,  4, 14,  5, 12,  2, 12], device='cuda:0')
0 52 	| 2.8818 	| 0.3125 	| tensor([ 1,  8,  8,  3,  7, 11,  8,  8,  3,  4], device='cuda:0')
0 53 	| 2.2059 	| 0.375 	| tensor([ 6, 13,  8,  1,  2,  6,  8,  8,  7,  3], device='cuda:0')
0 54 	| 2.0539 	| 0.3438 	| tensor([ 2,  8,  8,  8, 14,  2,  7, 14, 10,  6], device='cuda:0')
0 55 	| 1.9802 	| 0.4062 	| tensor([14,  1,  7,  1, 14,  3,  7,  8,  6,  7], device='cuda:0')
0 56 	| 2.2413 	| 0.3125 	| tensor([ 9,  4,  3,  9,  8,  3,  2,  3, 14,  9], device='cuda:0')
0 57 	| 2.0694 	| 0.3438 	| tensor([13,  8, 14,  8, 10,  8, 13,  7,  7,  7], device='cuda:0')
0 58 	| 2.4996 	| 0.1562 	| tensor([ 3,  7,  2,  2,  1,  8,  2,  7,  2, 14], device='cuda:0')
0 59 	| 1.8896 	| 0.4062 	| tensor([11, 13,  6, 11,  8, 13,  8, 11, 10, 14], device='cuda:0')
0 60 	| 1.9435 	| 0.3438 	| tensor([13, 12,  3,  7,  8,  6,  7,  5, 13, 13], device='cuda:0')
0 61 	| 2.0153 	| 0.2812 	| tensor([ 1,  6, 11,  0, 12,  0, 11, 13,  5, 12], device='cuda:0')
0 62 	| 2.2449 	| 0.2188 	| tensor([14, 11,  1,  8,  0,  3,  9,  3, 14,  2], device='cuda:0')
0 63 	| 2.1885 	| 0.2812 	| tensor([10, 14, 10,  9,  6,  3, 13, 10, 13, 11], device='cuda:0')
0 64 	| 1.9919 	| 0.375 	| tensor([11, 11, 10,  0,  2,  1,  1,  2,  4,  7], device='cuda:0')
0 65 	| 2.6299 	| 0.125 	| tensor([ 1, 10, 13,  8,  8, 14, 10,  1,  8,  5], device='cuda:0')
0 66 	| 2.081 	| 0.375 	| tensor([11,  1, 10, 11,  0,  0,  2, 11,  4,  0], device='cuda:0')
0 67 	| 2.1729 	| 0.25 	| tensor([ 8,  5,  7, 14,  4, 11, 14,  8, 10,  1], device='cuda:0')
0 68 	| 1.8041 	| 0.3438 	| tensor([ 6,  1,  2,  9, 12,  9, 11, 13,  6,  8], device='cuda:0')
